loss,Ganancia_Kp_loss,Periodo_Ti_loss,Ganancia_Kp_mse,Ganancia_Kp_mae,Periodo_Ti_mse,Periodo_Ti_mae,val_loss,val_Ganancia_Kp_loss,val_Periodo_Ti_loss,val_Ganancia_Kp_mse,val_Ganancia_Kp_mae,val_Periodo_Ti_mse,val_Periodo_Ti_mae,lr
0.9702832698822021,0.28375786542892456,0.4223290681838989,0.28371140360832214,0.30753225088119507,0.42213010787963867,0.2683759331703186,0.2727542817592621,0.2658686339855194,0.0030976543202996254,0.2658936083316803,0.4995036721229553,0.003096424276009202,0.04367649182677269,0.005
0.12701688706874847,0.0930505245923996,0.032401662319898605,0.09302022308111191,0.2123185098171234,0.03239259496331215,0.12931664288043976,0.06691872328519821,0.0629872977733612,0.0027730599977076054,0.06294834613800049,0.2023693323135376,0.0027707801200449467,0.038133833557367325,0.005
0.09045114368200302,0.07743503898382187,0.01187150925397873,0.07743941992521286,0.1995113343000412,0.011868941597640514,0.08182480186223984,0.05069410800933838,0.04884631559252739,0.0007155127823352814,0.04884487763047218,0.1958572119474411,0.0007148897857405245,0.02031402662396431,0.005
0.0967566967010498,0.08694519102573395,0.008699830621480942,0.08691287785768509,0.2088211625814438,0.008701394312083721,0.07103357464075089,0.025383256375789642,0.020284924656152725,0.004018025938421488,0.0202657338231802,0.09739995002746582,0.004016555845737457,0.05751869082450867,0.005
0.09411311894655228,0.08322938531637192,0.009835997596383095,0.08327626436948776,0.20874884724617004,0.00983475986868143,0.07493613660335541,0.056893981993198395,0.05492888763546944,0.0009576023439876735,0.054875005036592484,0.15259015560150146,0.0009570219554007053,0.026213090866804123,0.005
0.09151560813188553,0.08032652735710144,0.010224413126707077,0.08032943308353424,0.20526652038097382,0.010227736085653305,0.07580403983592987,0.07398057729005814,0.07231372594833374,0.0007471165154129267,0.07231291383504868,0.22727280855178833,0.0007465542876161635,0.01973079703748226,0.005
0.08915073424577713,0.07768137007951736,0.010601375252008438,0.0776703730225563,0.20039516687393188,0.010601283051073551,0.07693978399038315,0.4094866216182709,0.4029890298843384,0.005691281985491514,0.40311169624328613,0.5884389281272888,0.005688188131898642,0.06293749809265137,0.005
0.08157305419445038,0.07161913067102432,0.009211214259266853,0.07158879190683365,0.19239288568496704,0.009208355098962784,0.07196349650621414,0.3906933665275574,0.38096824288368225,0.009052633307874203,0.38102710247039795,0.5843233466148376,0.009052006527781487,0.08699379116296768,0.005
0.07731197774410248,0.06812326610088348,0.008563760668039322,0.06821124255657196,0.19060783088207245,0.00856300164014101,0.06997598707675934,0.11637015640735626,0.10911581665277481,0.006664378102868795,0.10909051448106766,0.28533700108528137,0.0066643585450947285,0.07430359721183777,0.005
0.05875062569975853,0.05210107937455177,0.006072148215025663,0.05208012834191322,0.16963450610637665,0.006074200384318829,0.060106925666332245,0.01491260901093483,0.013881242834031582,0.0004635488148778677,0.013869627378880978,0.08397816866636276,0.00046329214819706976,0.016592662781476974,0.0009999999
